# Header: 
#   Title                 : 29-CU-63 Resonance Parameter 
#   Source                : EXFOR 
#   Date Created          : 2025-07-24 
# EXFOR Bibliographic Information: 
#   First Author          : M.S.Pandey 
#   Institute             : (1USAORL): Oak Ridge National Laboratory, Oak Ridge, TN 
#   Reference             : (J,PR/C,15,600,197702) 
#   Year                  : 1977 
#   Facility              : (LINAC): Linear accelerator 
# Target: 
#   Z                     : 29 
#   A                     : 63 
#   Nuclide               : 29-CU-63 
# Reaction: 
#   entry-subent-pointer  :{193: '10725-004-3', 194: '10725-004-3', 195: '10725-004-3', 196: '10725-004-3', 197: '10725-004-3', 198: '10725-004-3', 199: '10725-004-3', 200: '10725-004-3', 201: '10725-004-3', 202: '10725-004-3', 203: '10725-004-3', 204: '10725-004-3', 205: '10725-004-3', 206: '10725-004-3', 207: '10725-004-3', 208: '10725-004-3', 209: '10725-004-3', 210: '10725-004-3', 211: '10725-004-3', 212: '10725-004-3', 213: '10725-004-3', 214: '10725-004-3', 215: '10725-004-3', 216: '10725-004-3', 217: '10725-004-3', 218: '10725-004-3', 219: '10725-004-3', 220: '10725-004-3', 221: '10725-004-3', 222: '10725-004-3', 223: '10725-004-3', 224: '10725-004-3', 225: '10725-004-3', 226: '10725-004-3', 227: '10725-004-3', 228: '10725-004-3', 229: '10725-004-3', 230: '10725-004-3', 231: '10725-004-3', 232: '10725-004-3', 233: '10725-004-3', 234: '10725-004-3', 235: '10725-004-3', 236: '10725-004-3', 237: '10725-004-3', 238: '10725-004-3', 239: '10725-004-3', 240: '10725-004-3', 241: '10725-004-3', 242: '10725-004-3', 243: '10725-004-3', 244: '10725-004-3', 245: '10725-004-3', 246: '10725-004-3', 247: '10725-004-3', 248: '10725-004-3', 249: '10725-004-3', 250: '10725-004-3', 251: '10725-004-3', 252: '10725-004-3', 253: '10725-004-3', 254: '10725-004-3', 255: '10725-004-3', 256: '10725-004-3', 257: '10725-004-3', 258: '10725-004-3', 259: '10725-004-3', 260: '10725-004-3', 261: '10725-004-3', 262: '10725-004-3', 263: '10725-004-3', 264: '10725-004-3', 265: '10725-004-3', 266: '10725-004-3', 267: '10725-004-3', 268: '10725-004-3', 269: '10725-004-3', 270: '10725-004-3', 271: '10725-004-3', 272: '10725-004-3', 273: '10725-004-3', 274: '10725-004-3', 275: '10725-004-3', 276: '10725-004-3', 277: '10725-004-3', 278: '10725-004-3'} 
#   EXFOR reaction        :{193: '(29-CU-63(N,EL),,WID)', 194: '(29-CU-63(N,EL),,WID)', 195: '(29-CU-63(N,EL),,WID)', 196: '(29-CU-63(N,EL),,WID)', 197: '(29-CU-63(N,EL),,WID)', 198: '(29-CU-63(N,EL),,WID)', 199: '(29-CU-63(N,EL),,WID)', 200: '(29-CU-63(N,EL),,WID)', 201: '(29-CU-63(N,EL),,WID)', 202: '(29-CU-63(N,EL),,WID)', 203: '(29-CU-63(N,EL),,WID)', 204: '(29-CU-63(N,EL),,WID)', 205: '(29-CU-63(N,EL),,WID)', 206: '(29-CU-63(N,EL),,WID)', 207: '(29-CU-63(N,EL),,WID)', 208: '(29-CU-63(N,EL),,WID)', 209: '(29-CU-63(N,EL),,WID)', 210: '(29-CU-63(N,EL),,WID)', 211: '(29-CU-63(N,EL),,WID)', 212: '(29-CU-63(N,EL),,WID)', 213: '(29-CU-63(N,EL),,WID)', 214: '(29-CU-63(N,EL),,WID)', 215: '(29-CU-63(N,EL),,WID)', 216: '(29-CU-63(N,EL),,WID)', 217: '(29-CU-63(N,EL),,WID)', 218: '(29-CU-63(N,EL),,WID)', 219: '(29-CU-63(N,EL),,WID)', 220: '(29-CU-63(N,EL),,WID)', 221: '(29-CU-63(N,EL),,WID)', 222: '(29-CU-63(N,EL),,WID)', 223: '(29-CU-63(N,EL),,WID)', 224: '(29-CU-63(N,EL),,WID)', 225: '(29-CU-63(N,EL),,WID)', 226: '(29-CU-63(N,EL),,WID)', 227: '(29-CU-63(N,EL),,WID)', 228: '(29-CU-63(N,EL),,WID)', 229: '(29-CU-63(N,EL),,WID)', 230: '(29-CU-63(N,EL),,WID)', 231: '(29-CU-63(N,EL),,WID)', 232: '(29-CU-63(N,EL),,WID)', 233: '(29-CU-63(N,EL),,WID)', 234: '(29-CU-63(N,EL),,WID)', 235: '(29-CU-63(N,EL),,WID)', 236: '(29-CU-63(N,EL),,WID)', 237: '(29-CU-63(N,EL),,WID)', 238: '(29-CU-63(N,EL),,WID)', 239: '(29-CU-63(N,EL),,WID)', 240: '(29-CU-63(N,EL),,WID)', 241: '(29-CU-63(N,EL),,WID)', 242: '(29-CU-63(N,EL),,WID)', 243: '(29-CU-63(N,EL),,WID)', 244: '(29-CU-63(N,EL),,WID)', 245: '(29-CU-63(N,EL),,WID)', 246: '(29-CU-63(N,EL),,WID)', 247: '(29-CU-63(N,EL),,WID)', 248: '(29-CU-63(N,EL),,WID)', 249: '(29-CU-63(N,EL),,WID)', 250: '(29-CU-63(N,EL),,WID)', 251: '(29-CU-63(N,EL),,WID)', 252: '(29-CU-63(N,EL),,WID)', 253: '(29-CU-63(N,EL),,WID)', 254: '(29-CU-63(N,EL),,WID)', 255: '(29-CU-63(N,EL),,WID)', 256: '(29-CU-63(N,EL),,WID)', 257: '(29-CU-63(N,EL),,WID)', 258: '(29-CU-63(N,EL),,WID)', 259: '(29-CU-63(N,EL),,WID)', 260: '(29-CU-63(N,EL),,WID)', 261: '(29-CU-63(N,EL),,WID)', 262: '(29-CU-63(N,EL),,WID)', 263: '(29-CU-63(N,EL),,WID)', 264: '(29-CU-63(N,EL),,WID)', 265: '(29-CU-63(N,EL),,WID)', 266: '(29-CU-63(N,EL),,WID)', 267: '(29-CU-63(N,EL),,WID)', 268: '(29-CU-63(N,EL),,WID)', 269: '(29-CU-63(N,EL),,WID)', 270: '(29-CU-63(N,EL),,WID)', 271: '(29-CU-63(N,EL),,WID)', 272: '(29-CU-63(N,EL),,WID)', 273: '(29-CU-63(N,EL),,WID)', 274: '(29-CU-63(N,EL),,WID)', 275: '(29-CU-63(N,EL),,WID)', 276: '(29-CU-63(N,EL),,WID)', 277: '(29-CU-63(N,EL),,WID)', 278: '(29-CU-63(N,EL),,WID)'} 
#   incident energy       : 1.0839e+04 eV - 1.4950e+05 eV 
# Links: 
#   git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/107/10725.x4 
#   nds                   : https://nds.iaea.org/EXFOR/10725
#
#        E_in(eV)          dE_in(eV)    data(N,TOT)(eV)       ddata(N,TOT)       data(N,G)         ddata(N,G)        data(N,EL)       ddata(N,EL)        data(N,F)        ddata(N,F)         data(N,A)        ddata(N,A)            spin_j        momentum_l
        1.6293E+04        1.1000E+02               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        1.7855E+04        2.0000E+01               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        1.7855E+04        3.0000E+01               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        1.7855E+04        4.0000E+01               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        1.7855E+04        4.5000E+01               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        1.7855E+04        5.0000E+01               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        1.7855E+04        5.5000E+01               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        1.7855E+04        6.0000E+01               NAN               NAN               NAN               NAN        5.0000E+01        6.0000E+00               NAN               NAN               NAN               NAN               NAN               NAN
        1.7855E+04        6.5000E+01               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        1.7855E+04        7.0000E+01               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        1.7855E+04        7.5000E+01               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        1.7855E+04        8.0000E+01               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        1.7855E+04        8.5000E+01               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        1.7855E+04        9.0000E+01               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        1.7855E+04        9.5000E+01               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        1.7855E+04        1.0000E+02               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        1.7855E+04        1.1000E+02               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        1.8110E+04        2.0000E+01               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        1.8110E+04        3.0000E+01               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        1.8110E+04        4.0000E+01               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        1.8110E+04        4.5000E+01               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        1.8110E+04        5.0000E+01               NAN               NAN               NAN               NAN        5.4000E+01        6.0000E+00               NAN               NAN               NAN               NAN               NAN               NAN
        1.8110E+04        5.5000E+01               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        1.8110E+04        6.0000E+01               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        1.8110E+04        6.5000E+01               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        1.8110E+04        7.0000E+01               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        1.8110E+04        7.5000E+01               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        1.8110E+04        8.0000E+01               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        1.8110E+04        8.5000E+01               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        1.8110E+04        9.0000E+01               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        1.8110E+04        9.5000E+01               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        1.8110E+04        1.0000E+02               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        1.8110E+04        1.1000E+02               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        2.1005E+04        2.0000E+01               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        2.1005E+04        3.0000E+01               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        2.1005E+04        4.0000E+01               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        2.1005E+04        4.5000E+01               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        2.1005E+04        5.0000E+01               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        2.1005E+04        5.5000E+01               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        2.1005E+04        6.0000E+01               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        2.1005E+04        6.5000E+01               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        2.1005E+04        7.0000E+01               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        2.1005E+04        7.5000E+01               NAN               NAN               NAN               NAN        7.5000E+01        7.0000E+00               NAN               NAN               NAN               NAN               NAN               NAN
        2.1005E+04        8.0000E+01               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        2.1005E+04        8.5000E+01               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        2.1005E+04        9.0000E+01               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        2.1005E+04        9.5000E+01               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        2.1005E+04        1.0000E+02               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        2.1005E+04        1.1000E+02               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        2.1225E+04        2.0000E+01               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        2.1225E+04        3.0000E+01               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        2.1225E+04        4.0000E+01               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        2.1225E+04        4.5000E+01               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        2.1225E+04        5.0000E+01               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        2.1225E+04        5.5000E+01               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        2.1225E+04        6.0000E+01               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        2.1225E+04        6.5000E+01               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        2.1225E+04        7.0000E+01               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        2.1225E+04        7.5000E+01               NAN               NAN               NAN               NAN        1.2000E+02        1.1000E+01               NAN               NAN               NAN               NAN               NAN               NAN
        2.1225E+04        8.0000E+01               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        2.1225E+04        8.5000E+01               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        2.1225E+04        9.0000E+01               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        2.1225E+04        9.5000E+01               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        2.1225E+04        1.0000E+02               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        2.1225E+04        1.1000E+02               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        2.2790E+04        2.0000E+01               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        2.2790E+04        3.0000E+01               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
